Ensembl Gene ID	Associated Gene Name	Chromosome Name	Gene Start (bp)	Gene End (bp)	Strand
Q0065	AI4	Mito	13818	21935	1
YER190C-A		5	574804	575379	-1
YDR545C-A		4	1530863	1531342	-1
YNL020C	ARK1	14	595623	597539	-1
YGL125W	MET13	7	272520	274322	1
YKR038C	KAE1	11	511999	513159	-1
YDL215C	GDH2	4	70640	73918	-1
YLR354C	TAL1	12	836350	837357	-1
YCR022C		3	157421	157765	-1
YFR008W	FAR7	6	160535	161200	1
YDR284C	DPP1	4	1030550	1031419	-1
YFL013C	IES1	6	107852	109930	-1
YKL051W	SFK1	11	341312	342373	1
YPR174C		16	888043	888708	-1
YMR091C	NPL6	13	450058	451365	-1
YJL143W	TIM17	10	147101	147577	1
YDR112W	IRC2	4	679544	679852	1
YGR057C	LST7	7	604773	605501	-1
YKL194C	MST1	11	77258	78646	-1
YLR308W	CDA2	12	747937	748875	1
YBR065C	ECM2	2	368584	369678	-1
YMR029C	FAR8	13	328660	330231	-1
YHL042W		8	15667	16119	1
YPR121W	THI22	16	778583	780301	1
YNL068C	FKH2	14	495701	498289	-1
YLR156C-A		12	472479	472610	-1
YGL157W	ARI1	7	209006	210049	1
YGL178W	MPT5	7	167352	170571	1
YMR148W	OSW5	13	560366	560812	1
YML058W	SML1	13	159383	159697	1
YLR249W	YEF3	12	636780	639914	1
YGR019W	UGA1	7	525229	526644	1
YJL049W		10	345973	347325	1
YBR263W	SHM1	2	736264	737736	1
YOR249C	APC5	15	798674	800731	-1
YBL097W	BRN1	2	40831	43095	1
YCR020W-B	HTL1	3	155320	155556	1
YPR044C	OPI11	16	654524	654877	-1
YDR286C		4	1035231	1035575	-1
YDR170W-A		4	803195	804517	1
YLR342W-A		12	815810	815983	1
YGR027W-A		7	536057	537379	1
YBL043W	ECM13	2	136688	137461	1
YLR018C	POM34	12	178707	179606	-1
YMR076C	PDS5	13	416196	420029	-1
YOR251C	TUM1	15	802550	803464	-1
YAR070C		1	224563	224862	-1
YBR124W		2	486507	486866	1
YJR135W-A	TIM8	10	676971	677234	1
YOR186W		15	683111	683545	1
YDR083W	RRP8	4	612073	613251	1
YOR011W-A		15	355652	355858	1
YOR267C	HRK1	15	822588	824867	-1
YLR109W	AHP1	12	368781	369311	1
YOR032C	HMS1	15	389771	391075	-1
YOR091W	TMA46	15	493433	494470	1
YKR059W	TIF1	11	554987	556174	1
YBR205W	KTR3	2	633622	634836	1
YLR316C	TAD3	12	765266	766358	-1
YDR406W-A		4	1283799	1284044	1
YLR292C	SEC72	12	719789	720370	-1
YCR044C	PER1	3	206877	207950	-1
YLR216C	CPR6	12	572096	573211	-1
YDR046C	BAP3	4	548762	550576	-1
YGR069W		7	627083	627418	1
YJL092W	SRS2	10	257423	260947	1
YDR096W	GIS1	4	637139	639823	1
YML018C		13	234771	235952	-1
YLR445W		12	1024189	1024837	1
YOR138C	RUP1	15	584309	586324	-1
YOR369C	RPS12	15	1028194	1028625	-1
YGR246C	BRF1	7	982482	984272	-1
YJR145C	RPS4A	10	702027	703068	-1
YJR138W	IML1	10	684567	689321	1
YHR059W	FYV4	8	220108	220500	1
YLR138W	NHA1	12	418437	421394	1
YHL009W-B		8	85909	91318	1
YDR098C-B		4	645858	651126	-1
YNL156C	NSG2	14	341069	341968	-1
YNL106C	INP52	14	420944	424495	-1
YNL286W	CUS2	14	95223	96080	1
YNL093W	YPT53	14	449868	450530	1
YIL040W	APQ12	9	277723	278139	1
YKL104C	GFA1	11	243220	245373	-1
YLR186W	EMG1	12	523632	524390	1
YDR425W	SNX41	4	1320064	1321941	1
YGL134W	PCL10	7	255663	256964	1
YJR094W-A	RPL43B	10	608305	608858	1
YDR293C	SSD1	4	1045640	1049392	-1
YBL113W-A		2	646	1128	1
YNR015W	SMM1	14	653387	654541	1
YKL006W	RPL14A	11	431906	432720	1
YLR456W		12	1055070	1055684	1
YDR448W	ADA2	4	1356065	1357369	1
YIL166C		9	30938	32566	-1
YDR097C	MSH6	4	640109	643837	-1
YER184C		5	556296	558680	-1
YJL047C-A		10	349044	349178	-1
YJL066C	MPM1	10	314114	314872	-1
YKL095W	YJU2	11	262277	263113	1
YLR368W	MDM30	12	857540	859336	1
YOR194C	TOA1	15	711683	712543	-1
YGR060W	ERG25	7	610564	611493	1
YHR041C	SRB2	8	189131	189864	-1
YBR115C	LYS2	2	469748	473926	-1
YCR097W	HMRA1	3	293835	294321	1
YBR147W	RTC2	2	536575	537465	1
YFL003C	MSH4	6	134521	137157	-1
YHR086W	NAM8	8	278153	279724	1
YOL120C	RPL18A	15	93395	94402	-1
YML079W		13	110247	110852	1
YOR125C	CAT5	15	559030	559731	-1
YLR065C	ENV10	12	266373	266918	-1
YNL298W	CLA4	14	68915	71443	1
YPL134C	ODC1	16	298571	299503	-1
YER078C	ICP55	5	316807	318342	-1
YGL225W	VRG4	7	76894	77907	1
YLR129W	DIP2	12	399657	402488	1
YNL224C	SQS1	14	224796	227099	-1
YNL122C		14	398023	398370	-1
YGL066W	SGF73	7	377609	379582	1
YCL067C	HMLALPHA2	3	12386	13018	-1
YNL217W		14	240331	241311	1
YGL063W	PUS2	7	383654	384766	1
YML030W	AIM31	13	216435	216914	1
YPL152W-A		16	264602	264700	1
YAL039C	CYC3	1	68716	69525	-1
YOR261C	RPN8	15	815915	816931	-1
YLR191W	PEX13	12	537272	538432	1
YMR316W	DIA1	13	904825	905835	1
YCR027C	RHB1	3	167370	167999	-1
YDL046W	NPC2	4	371240	371761	1
YER125W	RSP5	5	410189	412618	1
YMR263W	SAP30	13	794919	795524	1
YOL113W	SKM1	15	104326	106293	1
YAL001C	TFC3	1	147594	151166	-1
YDR517W	GRH1	4	1477239	1478357	1
YBR197C		2	615203	615856	-1
YDR192C	NUP42	4	843569	844861	-1
YJR132W	NMD5	10	669522	672668	1
YER021W	RPN3	5	196948	198519	1
YGL034C		7	433214	433579	-1
YKL014C	URB1	11	411619	416913	-1
YDL106C	PHO2	4	270222	271901	-1
YGR197C	SNG1	7	892497	894140	-1
YDR365C	ESF1	4	1204497	1206383	-1
YNL280C	ERG24	14	109095	110411	-1
YCR030C	SYP1	3	173826	176438	-1
YDL154W	MSH5	4	178334	181039	1
YDR505C	PSP1	4	1456695	1459220	-1
YGL033W	HOP2	7	435625	436351	1
YMR211W	DML1	13	689083	690510	1
YBR221W-A		2	666538	666642	1
YBL036C		2	150447	151220	-1
YGL202W	ARO8	7	116059	117561	1
YIL176C	PAU14	9	8793	9155	-1
YOL147C	PEX11	15	47933	48643	-1
YPR178W	PRP4	16	892332	893729	1
YFR007W	YFH7	6	159299	160360	1
YEL008W		5	140512	140892	1
YGR072W	UPF3	7	634304	635467	1
YER022W	SRB4	5	198812	200875	1
YNL069C	RPL16B	14	493956	495001	-1
YIL118W	RHO3	9	139752	140447	1
YJR008W		10	452430	453446	1
YKL217W	JEN1	11	22234	24084	1
YAR060C		1	217157	217492	-1
YCL010C	SGF29	3	103571	104350	-1
YNL303W		14	61510	61857	1
YPL036W	PMA2	16	482843	485686	1
YJR024C	MDE1	10	470230	470964	-1
YBR042C	CST26	2	320416	321609	-1
YAL047C	SPC72	1	54989	56857	-1
YER056C-A	RPL34A	5	269423	270185	-1
YFR011C	AIM13	6	166746	167258	-1
YDR256C	CTA1	4	968133	969680	-1
YFL065C		6	3030	3338	-1
YNL287W	SEC21	14	91994	94801	1
YAL065C		1	11565	11951	-1
YGR103W	NOP7	7	695417	697234	1
YLR061W	RPL22A	12	263194	263948	1
YLR171W		12	500733	501122	1
YGR161W-A		7	811738	813054	1
YOR281C	PLP2	15	846269	847129	-1
YBR162C	TOS1	2	563203	564570	-1
YJL078C	PRY3	10	291336	293981	-1
YMR114C		13	496343	497449	-1
YJL152W		10	136174	136533	1
YGR251W	NOP19	7	995639	996229	1
YJL067W		10	314084	314434	1
YBR094W	PBY1	2	432036	434297	1
YDR118W-A		4	687768	687884	1
YGR065C	VHT1	7	618077	619858	-1
YGR031C-A	NAG1	7	546809	547300	-1
YEL017C-A	PMP2	5	122798	122929	-1
YGL251C	HFM1	7	27921	31636	-1
YOR260W	GCD1	15	813984	815720	1
YKL021C	MAK11	11	397344	398750	-1
YKR028W	SAP190	11	494257	497358	1
YOR374W	ALD4	15	1039840	1041399	1
YHL026C		8	53219	54166	-1
YNR062C		14	744360	745343	-1
YHR014W	SPO13	8	132047	132922	1
YCR028C	FEN2	3	170886	172424	-1
YDL015C	TSC13	4	426002	426934	-1
YJL102W	MEF2	10	231301	233760	1
YCR016W		3	143634	144506	1
YER058W	PET117	5	271768	272091	1
YER149C	PEA2	5	466208	467470	-1
YJL147C		10	141419	142567	-1
YDL035C	GPR1	4	389172	392057	-1
YDR533C	HSP31	4	1501447	1502160	-1
YGL222C	EDC1	7	80659	81186	-1
YDL090C	RAM1	4	295034	296329	-1
YBR177C	EHT1	2	584807	586162	-1
YJL034W	KAR2	10	381327	383375	1
YML012C-A		13	245537	245914	-1
YNR059W	MNT4	14	736803	738545	1
YOR034C-A		15	397426	397668	-1
